hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,N/A,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,420,2100,Yes,Idleb,Harim,Dana,Dana (Dana),In the Village,NA,NA,SY07,SY0703,SY070301,C4126,36.76958,36.213601,NA,IRC
NWS,Earthquake,N/A,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,420,2100,Yes,Aleppo,Jebel Saman,Daret Azza,Daret Azza,In the Village,NA,NA,SY02,SY0200,SY020004,C1139,36.851091,36.285021,NA,IRC
NWS,Earthquake,N/A,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,420,2100,Yes,Idleb,Harim,Armanaz,Milis,In the Village,NA,NA,SY07,SY0703,SY070305,C4184,36.487717,36.005116,NA,IRC
NWS,Earthquake,N/A,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,420,2100,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,reception centers and Home vists,NA,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,IRC
NWS,Earthquake,N/A,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,1000,2100,Yes,Idleb,Harim,Dana,Deir Hassan - Darhashan,In the Village,communities,NA,SY07,SY0703,SY070301,C4129,36.762754,36.233725,NA,IRC
NWS,Earthquake,Norwegian Refugee Council,2023-02-09T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,263,1315,Yes,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,36.520746,36.212594,NA,NRC
NWS,Earthquake,Save The Children,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Bahar Organization (BO),Cash Response,NA,30,150,USD,2400,12000,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,in collective temporary tents,NA,SY02,SY0203,SY020302,C1426,36.689563,36.392488,NA,BO
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,93,510,Yes,Idleb,Harim,Dana,Qah,In the Camp,Collective Center,Kafr nboda Center,SY07,SY0703,SY070301,C4131,36.725165,36.296273,NA,ACTED
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,107,579,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Camp,Collective Center,Industry shelter center,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,ACTED
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,68,360,Yes,Idleb,Harim,Dana,Qah,In the Camp,Collective Center,Iqraa Center,SY07,SY0703,SY070301,C4131,36.725165,36.296273,NA,ACTED
